Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
713298,ET2012,Electronic Engineering,2(2-0-1-4),2,5,0645-0910,700,910,10|14,C9-306,NULL,TN
713299,ET2012,Electronic Engineering,2(2-0-1-4),1,6,0645-0910,700,910,4,Online,NULL,TN
713299,ET2012,Electronic Engineering,2(2-0-1-4),2,6,0645-0910,700,910,10|14,C9-306,NULL,TN
713300,ET2012,Electronic Engineering,2(2-0-1-4),1,7,0645-0910,700,910,4,Online,NULL,TN
713300,ET2012,Electronic Engineering,2(2-0-1-4),2,7,0645-0910,700,910,10|14,C9-306,NULL,TN
713301,ET2012,Electronic Engineering,2(2-0-1-4),1,3,0920-1145,920,1145,4,Online,NULL,TN
713301,ET2012,Electronic Engineering,2(2-0-1-4),2,3,0920-1145,920,1145,10|14,C9-306,NULL,TN
713302,ET2012,Electronic Engineering,2(2-0-1-4),1,4,0920-1145,920,1145,4,Online,NULL,TN
713302,ET2012,Electronic Engineering,2(2-0-1-4),2,4,0920-1145,920,1145,10|14,C9-306,NULL,TN
713303,ET2012,Electronic Engineering,2(2-0-1-4),1,5,0920-1145,920,1145,4,Online,NULL,TN
713303,ET2012,Electronic Engineering,2(2-0-1-4),2,5,0920-1145,920,1145,10|14,C9-306,NULL,TN
713304,ET2012,Electronic Engineering,2(2-0-1-4),1,6,0920-1145,920,1145,4,Online,NULL,TN
713304,ET2012,Electronic Engineering,2(2-0-1-4),2,6,0920-1145,920,1145,10|14,C9-306,NULL,TN
713305,ET2012,Electronic Engineering,2(2-0-1-4),1,7,0920-1145,920,1145,4,Online,NULL,TN
713305,ET2012,Electronic Engineering,2(2-0-1-4),2,7,0920-1145,920,1145,10|14,C9-306,NULL,TN
713306,ET2012,Electronic Engineering,2(2-0-1-4),1,3,0645-0910,700,910,4,Online,NULL,TN
713306,ET2012,Electronic Engineering,2(2-0-1-4),2,3,0645-0910,700,910,10|14,T-307,NULL,TN
713307,ET2012,Electronic Engineering,2(2-0-1-4),1,4,0645-0910,700,910,4,Online,NULL,TN
713307,ET2012,Electronic Engineering,2(2-0-1-4),2,4,0645-0910,700,910,10|14,T-307,NULL,TN
713308,ET2012,Electronic Engineering,2(2-0-1-4),1,5,0645-0910,700,910,4,Online,NULL,TN
713308,ET2012,Electronic Engineering,2(2-0-1-4),2,5,0645-0910,700,910,10|14,T-307,NULL,TN
713309,ET2012,Electronic Engineering,2(2-0-1-4),1,6,0645-0910,700,910,4,Online,NULL,TN
713309,ET2012,Electronic Engineering,2(2-0-1-4),2,6,0645-0910,700,910,10|14,T-307,NULL,TN
713310,ET2012,Electronic Engineering,2(2-0-1-4),1,7,0645-0910,700,910,4,Online,NULL,TN
713310,ET2012,Electronic Engineering,2(2-0-1-4),2,7,0645-0910,700,910,10|14,T-307,NULL,TN
713311,ET2012,Electronic Engineering,2(2-0-1-4),1,3,0920-1145,920,1145,4,Online,NULL,TN
713311,ET2012,Electronic Engineering,2(2-0-1-4),2,3,0920-1145,920,1145,10|14,T-307,NULL,TN
713312,ET2012,Electronic Engineering,2(2-0-1-4),1,4,0920-1145,920,1145,4,Online,NULL,TN
713312,ET2012,Electronic Engineering,2(2-0-1-4),2,4,0920-1145,920,1145,10|14,T-307,NULL,TN
713313,ET2012,Electronic Engineering,2(2-0-1-4),1,5,0920-1145,920,1145,4,Online,NULL,TN
713313,ET2012,Electronic Engineering,2(2-0-1-4),2,5,0920-1145,920,1145,10|14,T-307,NULL,TN
713314,ET2012,Electronic Engineering,2(2-0-1-4),1,6,0920-1145,920,1145,4,Online,NULL,TN
713314,ET2012,Electronic Engineering,2(2-0-1-4),2,6,0920-1145,920,1145,10|14,T-307,NULL,TN
713315,ET2012,Electronic Engineering,2(2-0-1-4),1,7,0920-1145,920,1145,4,Online,NULL,TN
713315,ET2012,Electronic Engineering,2(2-0-1-4),2,7,0920-1145,920,1145,10|14,T-307,NULL,TN
713604,ET2020,Basic Practicum,3(0-0-6-0),1,3,0920-1145,920,1145,1|2|3|4|5|6,Online,NULL,TT
713604,ET2020,Basic Practicum,3(0-0-6-0),2,5,0920-1145,920,1145,1|2|3|4|5|6,Online,NULL,TT
713604,ET2020,Basic Practicum,3(0-0-6-0),3,3,0920-1145,920,1145,10|11,T-312,NULL,TT
713604,ET2020,Basic Practicum,3(0-0-6-0),4,5,0920-1145,920,1145,10|11,T-312,NULL,TT
713604,ET2020,Basic Practicum,3(0-0-6-0),5,3,0920-1145,920,1145,12|13,T-311,NULL,TT
713604,ET2020,Basic Practicum,3(0-0-6-0),6,5,0920-1145,920,1145,12|13,T-311,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),1,2,0645-0910,645,910,1|2|3|4|5|6,Online,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),2,4,0645-0910,645,910,1|2|3|4|5|6,Online,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),3,2,0645-0910,645,910,10|11,T-308,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),4,4,0645-0910,645,910,10|11,T-308,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),5,2,0645-0910,645,910,12|13,T-310,NULL,TT
713605,ET2020,Basic Practicum,3(0-0-6-0),6,4,0645-0910,645,910,12|13,T-310,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),1,2,1505-1730,1505,1730,7|8|10|11|12|13,Online,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),2,6,1505-1730,1505,1730,7|8|10|11|12|13,Online,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),3,2,1505-1730,1505,1730,14|15,T-308,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),4,6,1505-1730,1505,1730,14|15,T-308,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),5,2,1505-1730,1505,1730,16|17,T-310,NULL,TT
713606,ET2020,Basic Practicum,3(0-0-6-0),6,6,1505-1730,1505,1730,16|17,T-310,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),1,3,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),2,5,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),3,3,1230-1455,1230,1455,10|11,T-308,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),4,5,1230-1455,1230,1455,10|11,T-308,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),5,3,1230-1455,1230,1230,12|13,T-310,NULL,TT
713766,ET2020,Basic Practicum,3(0-0-6-0),6,5,1230-1455,1230,1455,12|13,T-311,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),1,3,0645-0910,645,910,1|2|3|4|5|6,Online,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),2,5,0645-0910,645,910,1|2|3|4|5|6,Online,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),3,3,0645-0910,645,910,10|11,T-312,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),4,5,0645-0910,645,910,10|11,T-312,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),5,3,0645-0910,645,910,12|13,T-311,NULL,TT
713607,ET2021,Basic Practicum,2(0-0-4-4),6,5,0645-0910,645,910,12|13,T-311,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),1,2,0920-1145,920,1145,1|2|3|4|5|6,Online,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),2,4,0920-1145,920,1145,1|2|3|4|5|6,Online,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),3,2,0920-1145,920,1145,10|11,T-308,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),4,4,0920-1145,920,1145,10|11,T-308,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),5,2,0920-1145,920,1145,12|13,T-310,NULL,TT
713608,ET2021,Basic Practicum,2(0-0-4-4),6,4,0920-1145,920,1145,12|13,T-310,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),1,2,0645-0910,645,910,7|8|10|11|12|13,Online,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),2,5,0645-0910,645,910,7|8|10|11|12|13,Online,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),3,2,0645-0910,645,910,14|15,T-312,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),4,5,0645-0910,645,910,14|15,T-312,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),5,2,0645-0910,645,910,16|17,T-311,NULL,TT
713609,ET2021,Basic Practicum,2(0-0-4-4),6,5,0645-0910,645,910,16|17,T-311,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),1,2,0920-1145,920,1145,7|8|10|11|12|13,Online,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),2,5,0920-1145,920,1145,7|8|10|11|12|13,Online,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),3,2,0920-1145,920,1145,14|15,T-308,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),4,5,0920-1145,920,1145,14|15,T-308,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),5,2,0920-1145,920,1145,16|17,T-310,NULL,TT
713610,ET2021,Basic Practicum,2(0-0-4-4),6,5,0920-1145,920,1145,16|17,T-310,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),1,3,0645-0910,645,910,7|8|10|11|12|13,Online,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),2,6,0645-0910,645,910,7|8|10|11|12|13,Online,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),3,3,0645-0910,645,910,14|15,T-312,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),4,6,0645-0910,645,910,14|15,T-312,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),5,3,0645-0910,645,910,16|17,T-311,NULL,TT
713611,ET2021,Basic Practicum,2(0-0-4-4),6,6,0645-0910,645,910,16|17,T-311,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),1,3,0920-1145,920,1145,7|8|10|11|12|13,Online,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),2,6,0920-1145,920,1145,7|8|10|11|12|13,Online,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),3,3,0920-1145,920,1145,14|15,T-308,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),4,6,0920-1145,920,1145,14|15,T-308,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),5,3,0920-1145,920,1145,16|17,T-310,NULL,TT
713612,ET2021,Basic Practicum,2(0-0-4-4),6,6,0920-1145,920,1145,16|17,T-310,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),1,2,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),2,6,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),3,2,1230-1455,1230,1455,10|11,T-312,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),4,6,1230-1455,1230,1455,10|11,T-312,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),5,2,1230-1455,1230,1455,12|13,T-311,NULL,TT
713613,ET2021,Basic Practicum,2(0-0-4-4),6,6,1230-1455,1230,1455,12|13,T-311,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),1,3,1505-1730,1505,1730,7|8|10|11|12|13,Online,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),2,5,1505-1730,1505,1730,7|8|10|11|12|13,Online,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),3,3,1505-1730,1505,1730,14|15,T-308,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),4,5,1505-1730,1505,1730,14|15,T-308,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),5,3,1505-1730,1505,1730,16|17,T-310,NULL,TT
713614,ET2021,Basic Practicum,2(0-0-4-4),6,5,1505-1730,1505,1730,16|17,T-310,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),1,3,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),2,5,1230-1455,1230,1455,1|2|3|4|5|6,Online,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),3,3,1230-1455,1230,1455,10|11,T-312,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),4,5,1230-1455,1230,1455,10|11,T-312,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),5,3,1230-1455,1230,1455,12|13,T-311,NULL,TT
713615,ET2021,Basic Practicum,2(0-0-4-4),6,5,1230-1455,1230,1455,12|13,T-311,NULL,TT
127138,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,2,1230-1400,1,2,1-8|10-17,D8-504,NULL,LT+BT
127138,ET2022,Technical Writing and Presentation,3(2-2-0-6),2,4,1600-1730,5,6,1-8|10-17,D8-103,NULL,LT+BT
129230,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,3,1230-1550,1,4,1-8|10-17,D9-203,NULL,LT+BT
129231,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,3,1600-1730,5,6,1-8|10-17,D9-203,NULL,LT+BT
129231,ET2022,Technical Writing and Presentation,3(2-2-0-6),2,5,1230-1400,1,2,1-8|10-17,D9-203,NULL,LT+BT
129232,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,5,1410-1730,3,6,1-8|10-17,D9-203,NULL,LT+BT
129233,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,3,0645-0815,1,2,1-8|10-17,D9-203,NULL,LT+BT
129233,ET2022,Technical Writing and Presentation,3(2-2-0-6),2,5,1015-1145,5,6,1-8|10-17,D9-202,NULL,LT+BT
129234,ET2022,Technical Writing and Presentation,3(2-2-0-6),1,5,0645-1005,1,4,1-8|10-17,D9-202,NULL,LT+BT
128413,ET2031,C/C++ Programming Language,2(2-1-0-4),1,6,1230-1455,1,3,1-8|10-17,D8-301,NULL,LT+BT
129166,ET2031,C/C++ Programming Language,2(2-1-0-4),1,4,1505-1730,4,6,1-8|10-17,D7-203,NULL,LT+BT
129167,ET2031,C/C++ Programming Language,2(2-1-0-4),1,3,1505-1730,4,6,1-8|10-17,D7-204,NULL,LT+BT
129176,ET2031,C/C++ Programming Language,2(2-1-0-4),1,4,1230-1455,1,3,1-8|10-17,D7-203,NULL,LT+BT
129177,ET2031,C/C++ Programming Language,2(2-1-0-4),1,3,1230-1455,1,3,1-8|10-17,D7-204,NULL,LT+BT
129186,ET2031,C/C++ Programming Language,2(2-1-0-4),1,6,1505-1730,4,6,1-8|10-17,D5-506,NULL,LT+BT
129187,ET2031,C/C++ Programming Language,2(2-1-0-4),1,6,1230-1455,1,3,1-8|10-17,D7-204,NULL,LT+BT
129229,ET2031,C/C++ Programming Language,2(2-1-0-4),1,2,1505-1730,4,6,1-8|10-17,D7-202,NULL,LT+BT
129225,ET2040,Electronic Devices,3(3-0-1-6),1,6,0645-0910,1,3,1-8|10-17,D5-501,TN,LT+BT
129226,ET2040,Electronic Devices,3(3-0-1-6),1,6,0920-1145,4,6,1-8|10-17,D5-502,TN,LT+BT
713236,ET2040,Electronic Devices,3(3-0-1-6),1,2,1230-1455,1230,1455,6,Online,NULL,TN
713236,ET2040,Electronic Devices,3(3-0-1-6),2,2,1230-1455,1230,1455,10|14,T-304,NULL,TN
713237,ET2040,Electronic Devices,3(3-0-1-6),1,3,1230-1455,1230,1455,6,Online,NULL,TN
713237,ET2040,Electronic Devices,3(3-0-1-6),2,3,1230-1455,1230,1455,10|14,T-304,NULL,TN
713238,ET2040,Electronic Devices,3(3-0-1-6),1,4,1230-1455,1230,1455,6,Online,NULL,TN
713238,ET2040,Electronic Devices,3(3-0-1-6),2,4,1230-1455,1230,1455,10|14,T-304,NULL,TN
713239,ET2040,Electronic Devices,3(3-0-1-6),1,5,1230-1455,1230,1455,6,Online,NULL,TN
713239,ET2040,Electronic Devices,3(3-0-1-6),2,5,1230-1455,1230,1455,10|14,T-304,NULL,TN
713240,ET2040,Electronic Devices,3(3-0-1-6),1,6,1230-1455,1230,1455,6,Online,NULL,TN
713240,ET2040,Electronic Devices,3(3-0-1-6),2,6,1230-1455,1230,1455,10|14,T-304,NULL,TN
713241,ET2040,Electronic Devices,3(3-0-1-6),1,2,1505-1730,1505,1730,6,Online,NULL,TN
713241,ET2040,Electronic Devices,3(3-0-1-6),2,2,1505-1730,1505,1730,10|14,T-304,NULL,TN
713242,ET2040,Electronic Devices,3(3-0-1-6),1,3,1505-1730,1505,1730,6,Online,NULL,TN
713242,ET2040,Electronic Devices,3(3-0-1-6),2,3,1505-1730,1505,1730,10|14,T-304,NULL,TN
713243,ET2040,Electronic Devices,3(3-0-1-6),1,4,1505-1730,1505,1730,6,Online,NULL,TN
713243,ET2040,Electronic Devices,3(3-0-1-6),2,4,1505-1730,1505,1730,10|14,T-304,NULL,TN
713244,ET2040,Electronic Devices,3(3-0-1-6),1,5,1505-1730,1505,1730,6,Online,NULL,TN
713244,ET2040,Electronic Devices,3(3-0-1-6),2,5,1505-1730,1505,1730,10|14,T-304,NULL,TN
713245,ET2040,Electronic Devices,3(3-0-1-6),1,6,1505-1730,1505,1730,6,Online,NULL,TN
713245,ET2040,Electronic Devices,3(3-0-1-6),2,6,1505-1730,1505,1730,10|14,T-304,NULL,TN
713246,ET2040,Electronic Devices,3(3-0-1-6),1,2,1230-1455,1230,1455,7,Online,NULL,TN
713246,ET2040,Electronic Devices,3(3-0-1-6),2,2,1230-1455,1230,1455,11|15,T-304,NULL,TN
713247,ET2040,Electronic Devices,3(3-0-1-6),1,2,1505-1730,1505,1730,7,Online,NULL,TN
713247,ET2040,Electronic Devices,3(3-0-1-6),2,2,1505-1730,1505,1730,11|15,T-304,NULL,TN
713248,ET2040,Electronic Devices,3(3-0-1-6),1,3,1230-1455,1230,1455,7,Online,NULL,TN
713248,ET2040,Electronic Devices,3(3-0-1-6),2,3,1230-1455,1230,1455,11|15,T-304,NULL,TN
713249,ET2040,Electronic Devices,3(3-0-1-6),1,3,1505-1730,1505,1730,7,Online,NULL,TN
713249,ET2040,Electronic Devices,3(3-0-1-6),2,3,1505-1730,1505,1730,11|15,T-304,NULL,TN
713250,ET2040,Electronic Devices,3(3-0-1-6),1,4,1230-1455,1230,1455,7,Online,NULL,TN
713250,ET2040,Electronic Devices,3(3-0-1-6),2,4,1230-1455,1230,1455,11|15,T-304,NULL,TN
713251,ET2040,Electronic Devices,3(3-0-1-6),1,4,1505-1730,1505,1730,7,Online,NULL,TN
713251,ET2040,Electronic Devices,3(3-0-1-6),2,4,1505-1730,1505,1730,11|15,T-304,NULL,TN
128532,ET2042,Electronic Devices,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D8-403,TN,LT+BT
713252,ET2042,Electronic Devices,2(2-0-1-4),1,2,1230-1455,1230,1455,8,Online,NULL,TN
713252,ET2042,Electronic Devices,2(2-0-1-4),2,2,1230-1455,1230,1455,12|16,T-304,NULL,TN
713253,ET2042,Electronic Devices,2(2-0-1-4),1,3,1230-1455,1230,1455,8,Online,NULL,TN
713253,ET2042,Electronic Devices,2(2-0-1-4),2,3,1230-1455,1230,1455,12|16,T-304,NULL,TN
713254,ET2042,Electronic Devices,2(2-0-1-4),1,4,1230-1455,1230,1455,8,Online,NULL,TN
713254,ET2042,Electronic Devices,2(2-0-1-4),2,4,1230-1455,1230,1455,12|16,T-304,NULL,TN
713255,ET2042,Electronic Devices,2(2-0-1-4),1,5,1230-1455,1230,1455,8,Online,NULL,TN
713255,ET2042,Electronic Devices,2(2-0-1-4),2,5,1230-1455,1230,1455,12|16,T-304,NULL,TN
713256,ET2042,Electronic Devices,2(2-0-1-4),1,7,1410-1645,1410,1645,8,Online,NULL,TN
713256,ET2042,Electronic Devices,2(2-0-1-4),2,7,1410-1645,1410,1645,12|16,T-304,NULL,TN
713257,ET2042,Electronic Devices,2(2-0-1-4),1,7,0825-1100,825,1100,8,Online,NULL,TN
713257,ET2042,Electronic Devices,2(2-0-1-4),2,7,0825-1100,825,1100,12|16,T-304,NULL,TN
713774,ET2042,Electronic Devices,2(2-0-1-4),1,7,0825-1100,825,1100,7,Online,NULL,TN
713774,ET2042,Electronic Devices,2(2-0-1-4),2,7,0825-1100,825,1100,11|15,T-304,NULL,TN
713775,ET2042,Electronic Devices,2(2-0-1-4),1,7,1410-1645,1410,1645,7,Online,NULL,TN
713775,ET2042,Electronic Devices,2(2-0-1-4),2,7,1410-1645,1410,1645,11|15,T-304,NULL,TN
129227,ET2050,Circuit Theory,3(3-0-1-6),1,6,0645-0910,1,3,1-8|10-17,D5-502,TN,LT+BT
129228,ET2050,Circuit Theory,3(3-0-1-6),1,6,0920-1145,4,6,1-8|10-17,D5-501,TN,LT+BT
713360,ET2050,Circuit Theory,3(3-0-1-6),1,2,1230-1455,1230,1455,6|10,Online,NULL,TN
713360,ET2050,Circuit Theory,3(3-0-1-6),2,2,1230-1455,1230,1455,14,T-305,NULL,TN
713361,ET2050,Circuit Theory,3(3-0-1-6),1,2,1505-1730,1505,1730,6|10,Online,NULL,TN
713361,ET2050,Circuit Theory,3(3-0-1-6),2,2,1505-1730,1505,1730,14,T-305,NULL,TN
713362,ET2050,Circuit Theory,3(3-0-1-6),1,3,1230-1455,1230,1455,6|10,Online,NULL,TN
713362,ET2050,Circuit Theory,3(3-0-1-6),2,3,1230-1455,1230,1455,14,T-305,NULL,TN
713363,ET2050,Circuit Theory,3(3-0-1-6),1,3,1505-1730,1505,1730,6|10,Online,NULL,TN
713363,ET2050,Circuit Theory,3(3-0-1-6),2,3,1505-1730,1505,1730,14,T-305,NULL,TN
713364,ET2050,Circuit Theory,3(3-0-1-6),1,4,1230-1455,1230,1455,6|10,Online,NULL,TN
713364,ET2050,Circuit Theory,3(3-0-1-6),2,4,1230-1455,1230,1455,14,T-305,NULL,TN
713365,ET2050,Circuit Theory,3(3-0-1-6),1,4,1505-1730,1505,1730,6|10,Online,NULL,TN
713365,ET2050,Circuit Theory,3(3-0-1-6),2,4,1505-1730,1505,1730,14,T-305,NULL,TN
713366,ET2050,Circuit Theory,3(3-0-1-6),1,5,1230-1455,1230,1455,6|10,Online,NULL,TN
713366,ET2050,Circuit Theory,3(3-0-1-6),2,5,1230-1455,1230,1455,14,T-305,NULL,TN
713367,ET2050,Circuit Theory,3(3-0-1-6),1,5,1505-1730,1505,1730,6|10,Online,NULL,TN
713367,ET2050,Circuit Theory,3(3-0-1-6),2,5,1505-1730,1505,1730,14,T-305,NULL,TN
129216,ET2060,Signals and Systems,3(3-1-0-6),1,4,1410-1730,3,6,1-8|10-17,NULL,NULL,LT+BT
129217,ET2060,Signals and Systems,3(3-1-0-6),1,5,0825-1145,3,6,1-8|10-17,D5-404,NULL,LT+BT
129218,ET2060,Signals and Systems,3(3-1-0-6),1,3,0645-1005,1,4,1-8|10-17,D5-501,NULL,LT+BT
129219,ET2060,Signals and Systems,3(3-1-0-6),1,3,1015-1145,5,6,1-8|10-17,D5-404,NULL,LT+BT
129219,ET2060,Signals and Systems,3(3-1-0-6),2,5,0645-0815,1,2,1-8|10-17,D5-404,NULL,LT+BT
128376,ET2060E,Signals and Systems,3(3-1-0-6),1,2,0645-1005,1,4,1-8|10-17,D6-303,NULL,LT+BT
128201,ET2070,Fundamentals of Information Transmission,2(2-0-1-4),1,2,1230-1400,1,2,1-8|10-17,D6-101,TN,LT+BT
713341,ET2070,Fundamentals of Information Transmission,2(2-0-1-4),1,6,0920-1145,920,1145,7,Online,NULL,TN
713341,ET2070,Fundamentals of Information Transmission,2(2-0-1-4),2,6,0920-1145,920,1145,11|15,T-301,NULL,TN
713342,ET2070,Fundamentals of Information Transmission,2(2-0-1-4),1,7,0645-0910,645,910,7,Online,NULL,TN
713342,ET2070,Fundamentals of Information Transmission,2(2-0-1-4),2,7,0645-0910,645,910,11|15,T-301,NULL,TN
129188,ET2072, Information Theory,2(2-0-1-4),1,3,0645-0815,1,2,1-8|10-17,D5-404,TN,LT+BT
129189,ET2072, Information Theory,2(2-0-1-4),1,3,0825-1005,3,4,1-8|10-17,D5-405,TN,LT+BT
129190,ET2072, Information Theory,2(2-0-1-4),1,3,1015-1145,5,6,1-8|10-17,D5-501,TN,LT+BT
129191,ET2072, Information Theory,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D5-405,TN,LT+BT
713324,ET2072, Information Theory,2(2-0-1-4),1,2,1230-1455,1230,1455,7,Online,NULL,TN
713324,ET2072, Information Theory,2(2-0-1-4),2,2,1230-1455,1230,1455,11|15,T-301,NULL,TN
713325,ET2072, Information Theory,2(2-0-1-4),1,2,1505-1730,1505,1730,7,Online,NULL,TN
713325,ET2072, Information Theory,2(2-0-1-4),2,2,1505-1730,1505,1730,11|15,T-301,NULL,TN
713326,ET2072, Information Theory,2(2-0-1-4),1,3,1230-1455,1230,1455,7,Online,NULL,TN
713326,ET2072, Information Theory,2(2-0-1-4),2,3,1230-1455,1230,1455,11|15,T-301,NULL,TN
713327,ET2072, Information Theory,2(2-0-1-4),1,3,1505-1730,1505,1730,7,Online,NULL,TN
713327,ET2072, Information Theory,2(2-0-1-4),2,3,1505-1730,1505,1730,11|15,T-301,NULL,TN
713328,ET2072, Information Theory,2(2-0-1-4),1,4,1230-1455,1230,1455,7,Online,NULL,TN
713328,ET2072, Information Theory,2(2-0-1-4),2,4,1230-1455,1230,1455,11|15,T-301,NULL,TN
713329,ET2072, Information Theory,2(2-0-1-4),1,4,1505-1730,1505,1730,7,Online,NULL,TN
713329,ET2072, Information Theory,2(2-0-1-4),2,4,1505-1730,1505,1730,11|15,T-301,NULL,TN
713330,ET2072, Information Theory,2(2-0-1-4),1,5,1230-1455,1230,1455,7,Online,NULL,TN
713330,ET2072, Information Theory,2(2-0-1-4),2,5,1230-1455,1230,1455,11|15,T-301,NULL,TN
713331,ET2072, Information Theory,2(2-0-1-4),1,5,1505-1730,1505,1730,7,Online,NULL,TN
713331,ET2072, Information Theory,2(2-0-1-4),2,5,1505-1730,1505,1730,11|15,T-301,NULL,TN
713332,ET2072, Information Theory,2(2-0-1-4),1,6,1230-1455,1230,1455,7,Online,NULL,TN
713332,ET2072, Information Theory,2(2-0-1-4),2,6,1230-1455,1230,1455,11|15,T-301,NULL,TN
713333,ET2072, Information Theory,2(2-0-1-4),1,6,1505-1730,1505,1730,7,Online,NULL,TN
713333,ET2072, Information Theory,2(2-0-1-4),2,6,1505-1730,1505,1730,11|15,T-301,NULL,TN
713334,ET2072, Information Theory,2(2-0-1-4),1,7,1230-1455,1230,1455,7,Online,NULL,TN
713334,ET2072, Information Theory,2(2-0-1-4),2,7,1230-1455,1230,1455,11|15,T-301,NULL,TN
713335,ET2072, Information Theory,2(2-0-1-4),1,7,1505-1730,1505,1730,7,Online,NULL,TN
713335,ET2072, Information Theory,2(2-0-1-4),2,7,1505-1730,1505,1730,11|15,T-301,NULL,TN
713336,ET2072, Information Theory,2(2-0-1-4),1,2,1230-1455,1230,1455,8,Online,NULL,TN
713336,ET2072, Information Theory,2(2-0-1-4),2,2,1230-1455,1230,1455,12|16,T-301,NULL,TN
713337,ET2072, Information Theory,2(2-0-1-4),1,2,1505-1730,1505,1730,8,Online,NULL,TN
713337,ET2072, Information Theory,2(2-0-1-4),2,2,1505-1730,1505,1730,12|16,T-301,NULL,TN
