Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
713467,ET4230,Computer Networks,3(3-0-1-6),2,2,1230-1455,1230,1455,10|15,C9-201,NULL,TN
713468,ET4230,Computer Networks,3(3-0-1-6),1,2,1505-1730,1505,1730,6,Online,NULL,TN
713468,ET4230,Computer Networks,3(3-0-1-6),2,2,1505-1730,1505,1730,10|15,C9-201,NULL,TN
713469,ET4230,Computer Networks,3(3-0-1-6),1,3,1230-1455,1230,1455,6,Online,NULL,TN
713469,ET4230,Computer Networks,3(3-0-1-6),2,3,1230-1455,1230,1455,10|15,C9-201,NULL,TN
713470,ET4230,Computer Networks,3(3-0-1-6),1,3,1505-1730,1505,1730,6,Online,NULL,TN
713470,ET4230,Computer Networks,3(3-0-1-6),2,3,1505-1730,1505,1730,10|15,C9-201,NULL,TN
713471,ET4230,Computer Networks,3(3-0-1-6),1,4,1230-1455,1230,1455,6,Online,NULL,TN
713471,ET4230,Computer Networks,3(3-0-1-6),2,4,1230-1455,1230,1455,10|15,C9-201,NULL,TN
713472,ET4230,Computer Networks,3(3-0-1-6),1,4,1505-1730,1505,1730,6,Online,NULL,TN
713472,ET4230,Computer Networks,3(3-0-1-6),2,4,1505-1730,1505,1730,10|15,C9-201,NULL,TN
713473,ET4230,Computer Networks,3(3-0-1-6),1,5,1230-1455,1230,1455,6,Online,NULL,TN
713473,ET4230,Computer Networks,3(3-0-1-6),2,5,1230-1455,1230,1455,10|15,C9-201,NULL,TN
713474,ET4230,Computer Networks,3(3-0-1-6),1,5,1505-1730,1505,1730,6,Online,NULL,TN
713474,ET4230,Computer Networks,3(3-0-1-6),2,5,1505-1730,1505,1730,10|15,C9-201,NULL,TN
713475,ET4230,Computer Networks,3(3-0-1-6),1,6,1230-1455,1230,1455,6,Online,NULL,TN
713475,ET4230,Computer Networks,3(3-0-1-6),2,6,1230-1455,1230,1455,10|15,C9-201,NULL,TN
713476,ET4230,Computer Networks,3(3-0-1-6),1,6,1505-1730,1505,1730,6,Online,NULL,TN
713476,ET4230,Computer Networks,3(3-0-1-6),2,6,1505-1730,1505,1730,10|15,C9-201,NULL,TN
128331,ET4240E,Mobile/Wireless Communication,3(3-1-0-6),1,3,1410-1730,3,6,1-8|10-17,D8-402,NULL,LT+BT
129286,ET4245,AI and Applications,3(3-1-0-6),1,3,0645-1005,1,4,1-8|10-17,D5-202,NULL,LT+BT
129287,ET4245,AI and Applications,3(3-1-0-6),1,3,1015-1145,5,6,1-8|10-17,D5-201,NULL,LT+BT
129287,ET4245,AI and Applications,3(3-1-0-6),2,5,0645-0815,1,2,1-8|10-17,D8-503,NULL,LT+BT
129288,ET4245,AI and Applications,3(3-1-0-6),1,5,0825-1145,3,6,1-8|10-17,D8-505,NULL,LT+BT
128171,ET4250,Telecommunications Systems,3(3-1-0-6),1,4,0825-1145,3,6,1-8|10-17,D6-101,NULL,LT+BT
128259,ET4250,Telecommunications Systems,3(3-1-0-6),1,3,1230-1550,1,4,1-8|10-17,D9-207,NULL,LT+BT
129254,ET4250,Telecommunications Systems,3(3-1-0-6),1,2,1230-1550,1,4,1-8|10-17,D9-202,NULL,LT+BT
129255,ET4250,Telecommunications Systems,3(3-1-0-6),1,4,1230-1550,1,4,1-8|10-17,D5-201,NULL,LT+BT
129256,ET4250,Telecommunications Systems,3(3-1-0-6),1,6,1230-1550,1,4,1-8|10-17,D9-203,NULL,LT+BT
129257,ET4250,Telecommunications Systems,3(3-1-0-6),1,3,0825-1145,3,6,1-8|10-17,D9-203,NULL,LT+BT
